22
l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot1|q9_annot2|
1|466|9|1|17.00|23229.82|0.04|0.02|N|O|1996-03-13|1996-02-12|1996-03-22|DELIVER IN PERSON|TRUCK|egular courts above the|22301|0|0|22301|22301|17|
1|202|23|2|36.00|39679.20|0.09|0.06|N|O|1996-04-12|1996-02-28|1996-04-20|TAKE BACK RETURN|MAIL|ly final dependencies: slyly bold |36108|0|0|36108|36108|36|
1|192|13|3|8.00|8737.52|0.10|0.02|N|O|1996-01-29|1996-03-05|1996-01-31|TAKE BACK RETURN|REG AIR|riously. regular, express dep|7864|0|0|7864|7864|8|
1|7|15|4|28.00|25396.00|0.09|0.06|N|O|1996-04-21|1996-03-30|1996-05-16|NONE|AIR|lites. fluffily even de|23110|0|0|23110|23110|28|
1|73|11|5|24.00|23353.68|0.10|0.04|N|O|1996-03-30|1996-03-14|1996-04-01|NONE|FOB| pending foxes. slyly re|21018|0|0|21018|21018|24|
1|47|4|6|32.00|30305.28|0.07|0.02|N|O|1996-01-30|1996-02-07|1996-02-03|DELIVER IN PERSON|MAIL|arefully slyly ex|28184|0|0|28184|28184|32|
2|319|24|1|38.00|46333.78|0.00|0.05|N|O|1997-01-28|1997-01-14|1997-02-02|TAKE BACK RETURN|RAIL|ven requests. deposits breach a|46334|0|0|46334|46334|38|
3|13|5|1|45.00|41085.45|0.06|0.00|R|F|1994-02-02|1994-01-04|1994-02-23|NONE|AIR|ongside of the furiously brave acco|0|38620|0|38620|38620|45|
3|58|23|2|49.00|46944.45|0.10|0.00|R|F|1993-11-09|1993-12-20|1993-11-24|TAKE BACK RETURN|RAIL| unusual accounts. eve|0|42250|0|42250|42250|49|
3|386|5|3|27.00|34732.26|0.06|0.07|A|F|1994-01-16|1993-11-22|1994-01-23|DELIVER IN PERSON|SHIP|nal foxes wake. |0|0|0|32648|32648|27|
3|89|9|4|2.00|1978.16|0.01|0.06|A|F|1993-12-04|1994-01-07|1994-01-01|NONE|TRUCK|y. fluffily pending d|0|0|0|1958|1958|2|
3|550|26|5|28.00|40615.40|0.04|0.00|R|F|1993-12-14|1994-01-10|1994-01-01|TAKE BACK RETURN|FOB|ages nag slyly pending|0|38991|0|38991|38991|28|
3|187|17|6|26.00|28266.68|0.10|0.02|A|F|1993-10-29|1993-12-18|1993-11-04|TAKE BACK RETURN|RAIL|ges sleep after the caref|0|0|0|25440|25440|26|
4|265|11|1|30.00|34957.80|0.03|0.08|N|O|1996-01-10|1995-12-14|1996-01-18|DELIVER IN PERSON|REG AIR|- quickly regular packages sleep. idly|33909|0|0|33909|33909|30|
5|326|27|1|15.00|18394.80|0.02|0.04|R|F|1994-10-31|1994-08-31|1994-11-20|NONE|AIR|ts wake furiously |0|18027|0|18027|18027|15|
5|372|13|2|26.00|33081.62|0.07|0.08|R|F|1994-10-16|1994-09-25|1994-10-19|NONE|FOB|sts use slyly quickly special instruc|0|30766|0|30766|30766|26|
5|113|4|3|50.00|50655.50|0.08|0.03|A|F|1994-08-08|1994-10-13|1994-08-26|DELIVER IN PERSON|AIR|eodolites. fluffily unusual|0|0|0|46603|46603|50|
6|419|20|1|37.00|48818.17|0.08|0.03|A|F|1992-04-27|1992-05-15|1992-05-02|TAKE BACK RETURN|TRUCK|p furiously special foxes|0|0|0|44913|44913|37|
7|547|23|1|12.00|17370.48|0.07|0.03|N|O|1996-05-07|1996-03-13|1996-06-03|TAKE BACK RETURN|FOB|ss pinto beans wake against th|16155|0|0|16155|16155|12|
7|436|8|2|9.00|12027.87|0.08|0.08|N|O|1996-02-01|1996-03-02|1996-02-19|TAKE BACK RETURN|SHIP|es. instructions|11066|0|0|11066|11066|9|
7|285|18|3|46.00|54522.88|0.10|0.07|N|O|1996-01-15|1996-03-27|1996-02-03|COLLECT COD|MAIL| unusual reques|49071|0|0|49071|49071|46|
7|490|11|4|28.00|38933.72|0.03|0.04|N|O|1996-03-21|1996-04-08|1996-04-20|NONE|FOB|. slyly special requests haggl|37766|0|0|37766|37766|28|
7|456|13|5|38.00|51545.10|0.08|0.01|N|O|1996-02-11|1996-02-24|1996-02-18|DELIVER IN PERSON|TRUCK|ns haggle carefully ironic deposits. bl|47421|0|0|47421|47421|38|
7|238|13|6|35.00|39838.05|0.06|0.03|N|O|1996-01-16|1996-02-23|1996-01-22|TAKE BACK RETURN|FOB|jole. excuses wake carefully alongside of |37448|0|0|37448|37448|35|
7|472|7|7|5.00|6862.35|0.04|0.02|N|O|1996-02-10|1996-03-26|1996-02-13|NONE|FOB|ithely regula|6588|0|0|6588|6588|5|
32|249|10|1|28.00|32178.72|0.05|0.08|N|O|1995-10-23|1995-08-27|1995-10-26|TAKE BACK RETURN|TRUCK|sleep quickly. req|30570|0|0|30570|30570|28|
