7
c_custkey|c_name|c_nationkey|q3_annot|q10_annot|q18_annot|q8_annot|
1|Customer#000000001|15|0|1|1|0|
2|Customer#000000002|13|1|1|1|0|
3|Customer#000000003|1|1|1|1|0|
4|Customer#000000004|4|0|1|1|0|
5|Customer#000000005|3|0|1|1|0|
6|Customer#000000006|20|1|1|1|0|
7|Customer#000000007|18|1|1|1|1|
8|Customer#000000008|17|0|1|1|0|
9|Customer#000000009|8|0|1|1|1|
10|Customer#000000010|5|0|1|1|0|
11|Customer#000000011|23|0|1|1|0|
12|Customer#000000012|13|0|1|1|0|
13|Customer#000000013|3|0|1|1|0|
14|Customer#000000014|1|0|1|1|0|
15|Customer#000000015|23|0|1|1|0|
16|Customer#000000016|10|0|1|1|0|
17|Customer#000000017|2|1|1|1|0|
18|Customer#000000018|6|0|1|1|0|
19|Customer#000000019|18|0|1|1|1|
20|Customer#000000020|22|0|1|1|0|
21|Customer#000000021|8|0|1|1|1|
22|Customer#000000022|3|0|1|1|0|
23|Customer#000000023|3|0|1|1|0|
24|Customer#000000024|13|0|1|1|0|
25|Customer#000000025|12|0|1|1|1|
26|Customer#000000026|22|1|1|1|0|
27|Customer#000000027|3|0|1|1|0|
28|Customer#000000028|8|0|1|1|1|
29|Customer#000000029|0|0|1|1|0|
30|Customer#000000030|1|0|1|1|0|
31|Customer#000000031|23|0|1|1|0|
32|Customer#000000032|15|0|1|1|0|
33|Customer#000000033|17|1|1|1|0|
34|Customer#000000034|15|0|1|1|0|
35|Customer#000000035|17|0|1|1|0|
36|Customer#000000036|21|0|1|1|1|
37|Customer#000000037|8|0|1|1|1|
38|Customer#000000038|12|0|1|1|1|
39|Customer#000000039|2|1|1|1|0|
40|Customer#000000040|3|0|1|1|0|
41|Customer#000000041|10|0|1|1|0|
42|Customer#000000042|5|0|1|1|0|
43|Customer#000000043|19|0|1|1|0|
44|Customer#000000044|16|1|1|1|0|
45|Customer#000000045|9|1|1|1|1|
46|Customer#000000046|6|1|1|1|0|
47|Customer#000000047|2|0|1|1|0|
48|Customer#000000048|0|0|1|1|0|
49|Customer#000000049|10|0|1|1|0|
50|Customer#000000050|6|0|1|1|0|
51|Customer#000000051|12|0|1|1|1|
52|Customer#000000052|11|0|1|1|0|
53|Customer#000000053|15|0|1|1|0|
54|Customer#000000054|4|1|1|1|0|
55|Customer#000000055|10|0|1|1|0|
56|Customer#000000056|10|0|1|1|0|
57|Customer#000000057|21|1|1|1|1|
58|Customer#000000058|13|0|1|1|0|
59|Customer#000000059|1|0|1|1|0|
60|Customer#000000060|12|0|1|1|1|
61|Customer#000000061|17|0|1|1|0|
62|Customer#000000062|7|0|1|1|0|
63|Customer#000000063|21|1|1|1|1|
64|Customer#000000064|3|0|1|1|0|
65|Customer#000000065|23|1|1|1|0|
66|Customer#000000066|22|0|1|1|0|
67|Customer#000000067|9|0|1|1|1|
68|Customer#000000068|12|0|1|1|1|
69|Customer#000000069|9|0|1|1|1|
70|Customer#000000070|22|0|1|1|0|
71|Customer#000000071|7|0|1|1|0|
72|Customer#000000072|2|0|1|1|0|
73|Customer#000000073|0|0|1|1|0|
74|Customer#000000074|4|0|1|1|0|
75|Customer#000000075|18|1|1|1|1|
76|Customer#000000076|0|0|1|1|0|
77|Customer#000000077|17|0|1|1|0|
78|Customer#000000078|9|0|1|1|1|
79|Customer#000000079|15|0|1|1|0|
80|Customer#000000080|0|0|1|1|0|
81|Customer#000000081|20|0|1|1|0|
82|Customer#000000082|18|1|1|1|1|
83|Customer#000000083|22|0|1|1|0|
84|Customer#000000084|11|0|1|1|0|
85|Customer#000000085|5|0|1|1|0|
86|Customer#000000086|0|0|1|1|0|
87|Customer#000000087|23|0|1|1|0|
88|Customer#000000088|16|1|1|1|0|
89|Customer#000000089|14|0|1|1|0|
90|Customer#000000090|16|0|1|1|0|
91|Customer#000000091|8|1|1|1|1|
92|Customer#000000092|2|0|1|1|0|
93|Customer#000000093|7|0|1|1|0|
94|Customer#000000094|9|0|1|1|1|
95|Customer#000000095|15|0|1|1|0|
96|Customer#000000096|8|1|1|1|1|
97|Customer#000000097|17|1|1|1|0|
98|Customer#000000098|12|0|1|1|1|
99|Customer#000000099|15|0|1|1|0|
100|Customer#000000100|20|0|1|1|0|
101|Customer#000000101|2|0|1|1|0|
102|Customer#000000102|19|0|1|1|0|
103|Customer#000000103|9|0|1|1|1|
104|Customer#000000104|10|0|1|1|0|
105|Customer#000000105|10|0|1|1|0|
106|Customer#000000106|1|0|1|1|0|
107|Customer#000000107|15|1|1|1|0|
108|Customer#000000108|5|0|1|1|0|
109|Customer#000000109|16|0|1|1|0|
110|Customer#000000110|10|1|1|1|0|
111|Customer#000000111|22|0|1|1|0|
112|Customer#000000112|19|0|1|1|0|
113|Customer#000000113|12|0|1|1|1|
114|Customer#000000114|14|0|1|1|0|
115|Customer#000000115|8|0|1|1|1|
116|Customer#000000116|16|0|1|1|0|
117|Customer#000000117|24|0|1|1|0|
118|Customer#000000118|18|1|1|1|1|
119|Customer#000000119|7|0|1|1|0|
120|Customer#000000120|12|0|1|1|1|
121|Customer#000000121|17|0|1|1|0|
122|Customer#000000122|3|0|1|1|0|
123|Customer#000000123|5|0|1|1|0|
124|Customer#000000124|18|1|1|1|1|
125|Customer#000000125|19|0|1|1|0|
126|Customer#000000126|22|0|1|1|0|
127|Customer#000000127|21|0|1|1|1|
128|Customer#000000128|4|0|1|1|0|
129|Customer#000000129|7|0|1|1|0|
130|Customer#000000130|9|0|1|1|1|
131|Customer#000000131|11|0|1|1|0|
132|Customer#000000132|4|0|1|1|0|
133|Customer#000000133|17|1|1|1|0|
134|Customer#000000134|11|0|1|1|0|
135|Customer#000000135|19|0|1|1|0|
136|Customer#000000136|7|0|1|1|0|
137|Customer#000000137|16|0|1|1|0|
138|Customer#000000138|5|0|1|1|0|
139|Customer#000000139|9|0|1|1|1|
140|Customer#000000140|4|0|1|1|0|
141|Customer#000000141|1|0|1|1|0|
142|Customer#000000142|9|1|1|1|1|
143|Customer#000000143|16|0|1|1|0|
144|Customer#000000144|1|0|1|1|0|
145|Customer#000000145|13|0|1|1|0|
146|Customer#000000146|3|0|1|1|0|
147|Customer#000000147|18|1|1|1|1|
148|Customer#000000148|11|0|1|1|0|
149|Customer#000000149|19|1|1|1|0|
150|Customer#000000150|18|0|1|1|1|
151|Customer#000000151|19|0|1|1|0|
152|Customer#000000152|8|0|1|1|1|
153|Customer#000000153|6|0|1|1|0|
154|Customer#000000154|19|0|1|1|0|
155|Customer#000000155|0|1|1|1|0|
156|Customer#000000156|9|1|1|1|1|
157|Customer#000000157|15|0|1|1|0|
158|Customer#000000158|10|1|1|1|0|
159|Customer#000000159|10|0|1|1|0|
160|Customer#000000160|13|0|1|1|0|
161|Customer#000000161|7|0|1|1|0|
162|Customer#000000162|8|0|1|1|1|
163|Customer#000000163|21|0|1|1|1|
164|Customer#000000164|4|0|1|1|0|
165|Customer#000000165|0|0|1|1|0|
166|Customer#000000166|10|0|1|1|0|
167|Customer#000000167|5|1|1|1|0|
168|Customer#000000168|12|0|1|1|1|
169|Customer#000000169|18|0|1|1|1|
170|Customer#000000170|15|0|1|1|0|
171|Customer#000000171|7|0|1|1|0|
172|Customer#000000172|22|0|1|1|0|
173|Customer#000000173|9|0|1|1|1|
174|Customer#000000174|23|0|1|1|0|
175|Customer#000000175|10|0|1|1|0|
176|Customer#000000176|13|0|1|1|0|
177|Customer#000000177|1|0|1|1|0|
178|Customer#000000178|21|0|1|1|1|
179|Customer#000000179|4|0|1|1|0|
180|Customer#000000180|13|0|1|1|0|
