5
ps_partkey|ps_suppkey|ps_supplycost|q9_annot1|q9_annot2|
1|2|771.64|1|772|
1|252|993.49|1|993|
1|502|337.09|1|337|
1|752|357.84|1|358|
2|3|378.49|1|378|
2|253|915.27|1|915|
2|503|438.37|1|438|
2|753|306.39|1|306|
3|4|920.92|1|921|
3|254|498.13|1|498|
3|504|645.40|1|645|
3|754|191.92|1|192|
4|5|113.97|1|114|
4|255|591.18|1|591|
4|505|51.37|1|51|
4|755|444.37|1|444|
5|6|255.88|1|256|
5|256|50.52|1|51|
5|506|219.83|1|220|
5|756|537.98|1|538|
6|7|130.72|1|131|
6|257|424.25|1|424|
6|507|642.13|1|642|
6|757|175.32|1|175|
7|8|763.98|1|764|
7|258|149.66|1|150|
7|508|68.77|1|69|
7|758|299.58|1|300|
8|9|249.63|1|250|
8|259|957.34|1|957|
8|509|220.62|1|221|
8|759|916.91|1|917|
9|10|84.20|1|84|
9|260|811.84|1|812|
9|510|381.31|1|381|
9|760|291.84|1|292|
10|11|996.12|1|996|
10|261|673.27|1|673|
10|511|164.00|1|164|
10|761|374.02|1|374|
11|12|709.87|1|710|
11|262|894.90|1|895|
11|512|818.74|1|819|
11|762|471.98|1|472|
12|13|659.73|1|660|
12|263|332.81|1|333|
12|513|337.06|1|337|
12|763|901.70|1|902|
13|14|169.44|1|169|
13|264|862.70|1|863|
13|514|38.64|1|39|
13|764|327.18|1|327|
14|15|650.07|1|650|
14|265|889.50|1|890|
14|515|893.39|1|893|
14|765|310.13|1|310|
15|16|835.70|1|836|
15|266|784.55|1|785|
15|516|265.89|1|266|
15|766|458.67|1|459|
16|17|709.16|1|709|
16|267|887.53|1|888|
16|517|781.91|1|782|
16|767|918.51|1|919|
17|18|995.35|1|995|
17|268|648.75|1|649|
17|518|555.04|1|555|
17|768|64.40|1|64|
18|19|664.17|1|664|
18|269|52.44|1|52|
18|519|568.61|1|569|
18|769|386.29|1|386|
19|20|144.80|1|145|
19|270|405.70|1|406|
19|520|635.66|1|636|
19|770|346.92|1|347|
20|21|675.54|1|676|
20|271|305.84|1|306|
20|521|546.66|1|547|
20|771|115.89|1|116|
21|22|944.44|1|944|
21|272|139.05|1|139|
21|522|664.50|1|665|
21|772|584.86|1|585|
22|23|786.18|1|786|
22|273|635.84|1|636|
22|523|359.16|1|359|
22|773|597.21|1|597|
23|24|460.12|1|460|
23|274|103.13|1|103|
23|524|233.94|1|234|
23|774|51.75|1|52|
24|25|905.41|1|905|
24|275|511.20|1|511|
24|525|582.03|1|582|
24|775|62.15|1|62|
25|26|832.74|1|833|
25|276|928.96|1|929|
25|526|694.35|1|694|
25|776|746.59|1|747|
26|27|683.96|1|684|
26|277|892.20|1|892|
26|527|382.11|1|382|
26|777|821.89|1|822|
27|28|444.01|1|444|
27|278|157.03|1|157|
27|528|151.34|1|151|
27|778|348.61|1|349|
28|29|204.86|1|205|
28|279|744.57|1|745|
28|529|690.30|1|690|
28|779|666.53|1|667|
29|30|799.27|1|799|
29|280|981.33|1|981|
29|530|734.44|1|734|
29|780|186.21|1|186|
30|31|989.05|1|989|
30|281|743.26|1|743|
30|531|568.86|1|569|
30|781|583.84|1|584|
31|32|620.84|1|621|
31|282|120.99|1|121|
31|532|761.64|1|762|
31|782|849.11|1|849|
32|33|406.03|1|406|
32|283|109.34|1|109|
32|533|747.14|1|747|
32|783|856.09|1|856|
33|34|891.46|1|891|
33|284|929.05|1|929|
33|534|310.76|1|311|
33|784|327.19|1|327|
34|35|848.75|1|849|
34|285|265.31|1|265|
34|535|824.69|1|825|
34|785|609.69|1|610|
35|36|451.58|1|452|
35|286|537.72|1|538|
35|536|669.19|1|669|
35|786|411.17|1|411|
36|37|630.91|1|631|
36|287|434.47|1|434|
36|537|569.91|1|570|
36|787|289.15|1|289|
37|38|824.96|1|825|
37|288|126.59|1|127|
37|538|15.72|1|16|
37|788|745.64|1|746|
38|39|570.11|1|570|
38|289|662.75|1|663|
38|539|160.70|1|161|
38|789|847.09|1|847|
39|40|463.10|1|463|
39|290|300.43|1|300|
39|540|532.26|1|532|
39|790|737.86|1|738|
40|41|776.13|1|776|
40|291|565.82|1|566|
40|541|374.71|1|375|
40|791|196.64|1|197|
41|42|488.55|1|489|
41|292|391.81|1|392|
41|542|916.55|1|917|
41|792|37.59|1|38|
42|43|716.81|1|717|
42|293|709.06|1|709|
42|543|200.00|1|200|
42|793|29.46|1|29|
43|44|805.78|1|806|
43|294|493.19|1|493|
43|544|493.65|1|494|
43|794|307.12|1|307|
44|45|164.22|1|164|
44|295|114.37|1|114|
44|545|383.01|1|383|
44|795|833.15|1|833|
45|46|919.63|1|920|
45|296|877.29|1|877|
45|546|532.70|1|533|
45|796|155.32|1|155|
46|47|244.65|1|245|
46|297|106.80|1|107|
46|547|14.78|1|15|
46|797|985.88|1|986|
47|48|292.52|1|293|
47|298|539.47|1|539|
47|548|74.54|1|75|
47|798|296.63|1|297|
48|49|611.16|1|611|
48|299|191.36|1|191|
48|549|668.19|1|668|
48|799|606.16|1|606|
49|50|35.11|1|35|
49|300|908.15|1|908|
49|550|713.25|1|713|
49|800|812.62|1|813|
50|51|565.54|1|566|
50|301|690.87|1|691|
50|551|301.06|1|301|
50|801|107.17|1|107|
51|52|310.74|1|311|
51|302|85.03|1|85|
51|552|728.95|1|729|
51|802|901.04|1|901|
52|53|54.92|1|55|
52|303|210.44|1|210|
52|553|628.53|1|629|
52|803|424.93|1|425|
53|54|192.78|1|193|
53|304|563.44|1|563|
53|554|388.08|1|388|
53|804|224.83|1|225|
54|55|686.51|1|687|
54|305|798.98|1|799|
54|555|23.78|1|24|
54|805|259.24|1|259|
55|56|611.04|1|611|
55|306|236.27|1|236|
55|556|134.62|1|135|
55|806|130.33|1|130|
56|57|855.39|1|855|
56|307|54.79|1|55|
56|557|52.29|1|52|
56|807|926.25|1|926|
57|58|123.11|1|123|
57|308|411.08|1|411|
57|558|211.66|1|212|
57|808|137.68|1|138|
58|59|542.52|1|543|
58|309|448.31|1|448|
58|559|512.24|1|512|
58|809|25.09|1|25|
59|60|357.22|1|357|
59|310|80.98|1|81|
59|560|598.55|1|599|
59|810|45.50|1|46|
60|61|800.72|1|801|
60|311|314.81|1|315|
60|561|504.10|1|504|
60|811|92.64|1|93|
61|62|858.64|1|859|
61|312|771.26|1|771|
61|562|633.74|1|634|
61|812|153.74|1|154|
62|63|692.42|1|692|
62|313|348.82|1|349|
62|563|620.08|1|620|
62|813|255.78|1|256|
63|64|498.84|1|499|
63|314|509.16|1|509|
63|564|274.15|1|274|
63|814|463.69|1|464|
64|65|228.61|1|229|
64|315|398.92|1|399|
64|565|602.65|1|603|
64|815|25.77|1|26|
65|66|846.26|1|846|
65|316|393.63|1|394|
65|566|503.10|1|503|
65|816|288.73|1|289|
66|67|809.13|1|809|
66|317|785.75|1|786|
66|567|447.08|1|447|
66|817|797.27|1|797|
67|68|306.37|1|306|
67|318|546.75|1|547|
67|568|625.62|1|626|
67|818|397.34|1|397|
68|69|31.37|1|31|
68|319|5.16|1|5|
68|569|80.86|1|81|
68|819|683.59|1|684|
69|70|694.24|1|694|
69|320|846.49|1|846|
69|570|386.96|1|387|
69|820|344.28|1|344|
70|71|348.27|1|348|
70|321|452.80|1|453|
70|571|940.81|1|941|
70|821|182.58|1|183|
71|72|842.21|1|842|
71|322|239.57|1|240|
71|572|744.67|1|745|
71|822|329.13|1|329|
72|73|497.26|1|497|
72|323|41.04|1|41|
72|573|762.61|1|763|
72|823|154.47|1|154|
73|74|947.99|1|948|
73|324|920.66|1|921|
73|574|108.96|1|109|
73|824|309.57|1|310|
74|75|345.92|1|346|
74|325|930.97|1|931|
74|575|496.36|1|496|
74|825|849.66|1|850|
75|76|624.39|1|624|
75|326|759.36|1|759|
75|576|433.59|1|434|
75|826|884.01|1|884|
76|77|494.83|1|495|
76|327|108.97|1|109|
76|577|552.38|1|552|
76|827|252.03|1|252|
77|78|254.92|1|255|
77|328|875.83|1|876|
77|578|936.13|1|936|
77|828|402.14|1|402|
78|79|729.94|1|730|
78|329|577.23|1|577|
78|579|434.34|1|434|
78|829|382.82|1|383|
79|80|765.34|1|765|
79|330|28.33|1|28|
79|580|880.23|1|880|
79|830|891.18|1|891|
80|81|127.65|1|128|
80|331|775.79|1|776|
80|581|945.72|1|946|
80|831|797.05|1|797|
81|82|550.29|1|550|
81|332|220.23|1|220|
81|582|409.73|1|410|
81|832|492.19|1|492|
82|83|697.31|1|697|
82|333|585.86|1|586|
82|583|604.25|1|604|
82|833|900.07|1|900|
83|84|745.51|1|746|
83|334|399.64|1|400|
83|584|657.22|1|657|
83|834|24.73|1|25|
84|85|233.61|1|234|
84|335|469.80|1|470|
84|585|969.44|1|969|
84|835|707.77|1|708|
85|86|608.77|1|609|
85|336|917.83|1|918|
85|586|491.20|1|491|
85|836|73.81|1|74|
86|87|65.98|1|66|
86|337|250.04|1|250|
86|587|816.53|1|817|
86|837|332.65|1|333|
87|88|688.33|1|688|
87|338|435.42|1|435|
87|588|617.20|1|617|
87|838|868.60|1|869|
88|89|334.58|1|335|
88|339|71.50|1|72|
88|589|81.82|1|82|
88|839|821.43|1|821|
89|90|744.87|1|745|
89|340|776.53|1|777|
89|590|417.61|1|418|
89|840|920.02|1|920|
90|91|409.38|1|409|
90|341|498.43|1|498|
90|591|666.13|1|666|
90|841|50.84|1|51|
91|92|528.64|1|529|
91|342|906.20|1|906|
91|592|823.21|1|823|
91|842|703.41|1|703|
92|93|224.01|1|224|
92|343|985.03|1|985|
92|593|91.63|1|92|
92|843|854.89|1|855|
93|94|615.98|1|616|
93|344|376.47|1|376|
93|594|868.81|1|869|
93|844|805.90|1|806|
94|95|365.56|1|366|
94|345|358.08|1|358|
94|595|478.94|1|479|
94|845|824.08|1|824|
95|96|291.03|1|291|
95|346|456.36|1|456|
95|596|987.22|1|987|
95|846|973.74|1|974|
96|97|202.06|1|202|
96|347|571.30|1|571|
96|597|672.29|1|672|
96|847|587.08|1|587|
97|98|129.77|1|130|
97|348|458.34|1|458|
97|598|239.34|1|239|
97|848|761.41|1|761|
98|99|908.21|1|908|
98|349|657.16|1|657|
98|599|139.00|1|139|
